MapNum,ZoneNum,LocX,LocY,TotalSteps,BackgroundsAndRange,TownID;,RandomItems,RandomFood
1,1,54,27,10000,0t600:12;601t1300:6;1301t2000:7;2001t2700:3;2701t3400:11;3401t4200:2;4201t6100:9;6101t7200:5;7201t7900:12;7901t8600:9;8601t9299:10;9300t10000:9,0,29:30:27:2:3:4:12,9:10:11:12:13:14:30:31:35:36:37:45:46:50:51:52:53
1,2,30,27,12000,0t1800:8;1801t6600:3;6601t7500:4;7501t12000:3,1,29:30:27:8:10:7:9,10:11:12:30:35:36:37:45:46:50:51:52:53
1,3,9,27,14000,0t600:11;601t2000:7;2001t3000:3;3001t4000:12;4001t7000:9;7001t14000:11,2,29:30:27:2:0:1:3:4:5:6:11:12:13:26,7:10:11:12:17:23:25
1,4,9,12,16000,0t4000:12;4001t16000:8,3,29:30:27:28:7:26:8,9:10:11:12:13:14:30:31:35:36:37:53
1,5,27,12,18000,0t18000:4,4,29:30:27:28:3:11:12:13:6:5:4:2,9:10:11:12:13:30:31:35:36:37:45
1,6,39,12,20000,0t20000:11,5,29:30:27:28:7:8:0:1:2:9:10,10:11:12:15:16:17:20:21:22:23:25:26:30:34:38:10:11:12:47:48:49
1,7,54,12,22000,0t22000:9,6,29:30:27:28:4:4:4:4,10:11:12:10:11:12:10:11:12:20:21:22:26:27:32:33:10:11:12
2,1,51,36,10000,0t4800:2;4801t5600:4;5601t6400:3;6401t7200:10;7201t10000:2,7,29:30:27:2:3:4:12,9:10:11:12:13:14:30:31:35:36:37:45:46:50:51:52:53
2,2,42,24,12000,0t1500:2;1501t3000:5;3001t6000:6;6001t7500:7;7501t9000:2;9001t12000:8,8,29:30:27:8:10:7:9,10:11:12:30:35:36:37:45:46:50:51:52:53
2,3,27,24,14000,0t2800:12;2801t5600:2;5601t8400:7;8401t11200:7;11201t14000:3,9,29:30:27:2:0:1:3:4:5:6:11:12:13:26,7:10:11:12:17:23:25:45:46:50:51:52:53
2,4,12,27,16000,0t2000:4;2001t4000:11;4001t6000:11;6001t8000:11;8001t10000:4;10001t12000:3;12001t14000:11;14001t16000:4,10,29:30:27:28:7:26:8,9:10:11:12:13:14:30:31:35:36:37
2,5,12,12,18000,0t2000:11;2001t4000:11;4001t6000:11;6001t8000:11;8001t10000:11;10001t12000:6;12001t14000:11;14001t16000:3;16001t18000:11,11,29:30:27:28:3:11:12:13:6:5:4:2,9:10:11:12:13:30:31:35:36:37
2,6,27,9,20000,0t15000:11;15001t20000:12,12,29:30:27:28:7:8:0:1:2:9:10,10:11:12:15:16:17:20:21:22:23:25:26:30:34:38:10:11:12:47:48:49
2,7,42,12,22000,0t5000:0;5001t10000:1;10001t15000:11;15001t22000:9,13,29:30:27:28:4:4:4:4,10:11:12:10:11:12:10:11:12:20:21:22:26:27:32:33:10:11:12
3,1,12,9,6500,0t6500:2,14,29:30:27:2:0:1:3:4:5:6:11:12:13:26,7:10:11:12:17:23:25:45:46:50:51:52:53
3,2,18,24,7500,0t7500:3,15,29:30:27:28:7:26:8,9:10:11:12:13:14:30:31:35:36:37:52
3,3,45,24,8500,0t1200:7;1201t7200:1;7201t8500:9,16,29:30:27:28:4:4:4:4,10:11:12:10:11:12:10:11:12:20:21:22:26:27:32:33:10:11:12:53
4,1,15,9,8000,0t7000:3;7001t8000:9,17,29:30:27:28:7:26:8,9:10:11:12:13:14:30:31:35:36:37
4,2,30,36,14000,0t14000:9,18,29:30:27:28:4:4:4:4,10:11:12:10:11:12:10:11:12:20:21:22:26:27:32:33:10:11:12
5,1,36,33,8000,0t8000:10,19,29:30:27:2:3:4:12,9:10:11:12:13:14:30:31:35:36:37:45:46:50:51:52:53
5,2,18,30,9000,0t9000:15,20,29:30:27:8:10:7:9,10:11:12:30:35:36:37:45:46:50:51:52:53
5,3,6,21,10000,0t10000:7,21,29:30:27:2:0:1:3:4:5:6:11:12:13:26,7:10:11:12:17:23:25
5,4,9,9,11000,0t11000:4,22,29:30:27:28:7:26:8,9:10:11:12:13:14:30:31:35:36:37:53
5,5,48,15,12000,0t12000:5,23,29:30:27:28:3:11:12:13:6:5:4:2,9:10:11:12:13:30:31:35:36:37:45
5,6,57,27,13000,0t3000:4;3001t8000:3;8001t13000:9,24,29:30:27:28:7:8:0:1:2:9:10,10:11:12:15:16:17:20:21:22:23:25:26:30:34:38:10:11:12:47:48:49
5,7,30,18,14000,0t14000:9,25,29:30:27:28:4:4:4:4,10:11:12:10:11:12:10:11:12:20:21:22:26:27:32:33:10:11:12
